2026-08-29 13:47:09 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 13:52:00 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 13:52:00] "POST /upload-video HTTP/1.1" 200 -
2026-08-29 13:52:00 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 13:52:00] "GET /outputs/annotated_b2b857ec9f20.mp4 HTTP/1.1" 206 -
2026-08-29 13:52:00 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 13:52:00] "GET /outputs/annotated_b2b857ec9f20.mp4 HTTP/1.1" 206 -
2026-08-29 13:52:00 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 13:52:00] "GET /outputs/annotated_b2b857ec9f20.mp4 HTTP/1.1" 206 -
2026-08-29 13:52:00 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 13:52:00] "GET /outputs/annotated_b2b857ec9f20.mp4 HTTP/1.1" 206 -
2026-08-29 13:52:04 | INFO     | werkzeug | 127.0.0.1 - - [29/Aug/2026 13:52:04] "GET /outputs/annotated_b2b857ec9f20.mp4 HTTP/1.1" 206 -
2026-08-29 14:03:41 | INFO     | database | Database initialized at C:\Users\akhil\OneDrive\Desktop\Road-Damage-AI-System-2026\backend\database\road_damage.db
2026-08-29 14:03:41 | INFO     | __main__ | Flask application created and configured successfully.
2026-08-29 14:03:41 | INFO     | __main__ | Starting AI Road Damage Detection System on http://0.0.0.0:5000
2026-08-29 14:03:41 | INFO     | werkzeug | WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://10.50.88.154:5000
2026-08-29 14:03:41 | INFO     | werkzeug | Press CTRL+C to quit
2026-08-29 14:03:41 | INFO     | werkzeug |  * Restarting with stat
